type: 1  ;;; serialno: 25  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "recvmsg"  ;;; syscall_param: "3<UNIX:[294552->294566]>, 0x7ffdf5c538c0, 0"  ;;; syscall_ret_val: -1  ;;; syscall_ret_val_info: "None"  ;;; errno: "EAGAIN"  ;;; error_info: "Resource temporarily unavailable"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 26  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "poll"  ;;; syscall_param: "[{fd=3<UNIX:[294552->294566]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[294584->294585]>, events=POLLIN}], 3, 0"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "Timeout"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 27  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "recvmsg"  ;;; syscall_param: "3<UNIX:[294552->294566]>, 0x7ffdf5c52410, 0"  ;;; syscall_ret_val: -1  ;;; syscall_ret_val_info: "None"  ;;; errno: "EAGAIN"  ;;; error_info: "Resource temporarily unavailable"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 28  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "poll"  ;;; syscall_param: "[{fd=3<UNIX:[294552->294566]>, events=POLLIN|POLLOUT}], 1, -1"  ;;; syscall_ret_val: 1  ;;; syscall_ret_val_info: "[{fd=3, revents=POLLOUT}]"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 29  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "writev"  ;;; syscall_param: "3<UNIX:[294552->294566]>, [{"5\30\4\0004\33`\1\36\0`\1(\0\32\0007\0\7\0005\33`\0014\33`\1\0\5\1\0"..., 220}, {NULL, 0}, {"", 0}], 3"  ;;; syscall_ret_val: 220  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 30  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "recvmsg"  ;;; syscall_param: "3<UNIX:[294552->294566]>, 0x7ffdf5c538b0, 0"  ;;; syscall_ret_val: -1  ;;; syscall_ret_val_info: "None"  ;;; errno: "EAGAIN"  ;;; error_info: "Resource temporarily unavailable"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 31  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "recvmsg"  ;;; syscall_param: "3<UNIX:[294552->294566]>, {msg_name(0)=NULL, msg_iov(1)=[{"A\0\32\2424\33`\1\3\0\203\0(\0`\1\0\0\34\0\0\0\0\0\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0"  ;;; syscall_ret_val: 32  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 32  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "recvmsg"  ;;; syscall_param: "3<UNIX:[294552->294566]>, 0x7ffdf5c538c0, 0"  ;;; syscall_ret_val: -1  ;;; syscall_ret_val_info: "None"  ;;; errno: "EAGAIN"  ;;; error_info: "Resource temporarily unavailable"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 33  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "poll"  ;;; syscall_param: "[{fd=3<UNIX:[294552->294566]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[294584->294585]>, events=POLLIN}], 3, 0"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "Timeout"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 34  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "recvmsg"  ;;; syscall_param: "3<UNIX:[294552->294566]>, 0x7ffdf5c537e0, 0"  ;;; syscall_ret_val: -1  ;;; syscall_ret_val_info: "None"  ;;; errno: "EAGAIN"  ;;; error_info: "Resource temporarily unavailable"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
